"filename", "language", "Python", "CMakeCache", "CMake", "JSON", "C++", "C", "Log", "Makefile", "JSON with Comments", "Markdown", "Docker", "comment", "blank", "total"
"/home/yuan/esp/tcp/build/bootloader/esp-idf/esp_common/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/bootloader/esp-idf/esp_hw_support/cmake_install.cmake", "CMake", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 46
"/home/yuan/esp/tcp/build/bootloader/esp-idf/esp_hw_support/port/esp32s3/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/bootloader/esp-idf/esp_rom/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/bootloader/esp-idf/esp_system/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/bootloader/esp-idf/esptool_py/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/bootloader/esp-idf/freertos/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/bootloader/esp-idf/hal/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/bootloader/esp-idf/log/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/bootloader/esp-idf/main/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/bootloader/esp-idf/micro-ecc/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/bootloader/esp-idf/newlib/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/bootloader/esp-idf/partition_table/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/bootloader/esp-idf/soc/cmake_install.cmake", "CMake", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 46
"/home/yuan/esp/tcp/build/bootloader/esp-idf/soc/esp32s3/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/bootloader/esp-idf/spi_flash/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/bootloader/esp-idf/xtensa/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/bootloader/project_description.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/home/yuan/esp/tcp/build/bootloader/project_elf_src_esp32s3.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/yuan/esp/tcp/build/cmake_install.cmake", "CMake", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 56
